店舗名,部門名,項目,内訳,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,半年計,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,通年計
"","文化用品","売上","当月","3,278","1,548","1,527","778","1,293","327","8,751","1,616","0","0","0","0","0","10,367"
"","","","前年","1,525","2,195","1,950","1,718","1,263","760","9,411","1,475","2,102","1,478","1,585","1,453","3,412","20,916"
"","","","前年比","215","71","78","45","102","43","93","110","0","0","0","0","0","50"
"","","粗利","当月","1,700","893","813","431","609","164","4,610","848","0","0","0","0","0","5,458"
"","","","前年","973","1,079","873","911","560","268","4,664","719","917","817","874","771","1,588","10,350"
"","","","前年比","175","83","93","47","109","61","99","118","0","0","0","0","0","53"
"","","客数","当月","12","7","8","6","5","3","41","7","0","0","0","0","0","48"
"","","","前年","10","14","13","9","10","6","62","11","11","8","7","12","24","135"
"","","","前年比","120","50","62","67","50","50","66","64","0","0","0","0","0","36"
"","耐久消費財","売上","当月","6,240","27,803","13,438","23,718","22,146","3,295","96,640","3,557","0","0","0","0","0","100,197"
"","","","前年","15,197","16,348","27,723","18,982","19,484","19,654","117,388","5,973","29,418","3,420","24,025","6,562","6,610","193,396"
"","","","前年比","41","170","48","125","114","17","82","60","0","0","0","0","0","52"
"","","粗利","当月","1,590","7,026","3,486","6,738","5,429","948","25,217","933","0","0","0","0","0","26,150"
"","","","前年","5,647","3,419","8,371","4,993","12,948","5,476","40,854","2,353","7,454","1,350","6,799","2,406","1,934","63,150"
"","","","前年比","28","205","42","135","42","17","62","40","0","0","0","0","0","41"
"","","客数","当月","4","8","5","3","5","3","28","3","0","0","0","0","0","31"
"","","","前年","4","6","5","6","7","4","32","3","10","2","4","5","6","62"
"","","","前年比","100","133","100","50","71","75","88","100","0","0","0","0","0","50"
"","衣料身の回り品","売上","当月","5,689","398","0","0","0","0","6,087","0","0","0","0","0","0","6,087"
"","","","前年","0","1,194","0","0","0","1,980","3,174","1,980","0","7","0","0","1,980","7,141"
"","","","前年比","0","33","0","0","0","0","192","0","0","0","0","0","0","85"
"","","粗利","当月","1,891","115","0","0","0","0","2,006","0","0","0","0","0","0","2,006"
"","","","前年","0","345","0","0","0","720","1,065","720","0","-341","0","0","720","2,164"
"","","","前年比","0","33","0","0","0","0","188","0","0","0","0","0","0","93"
"","","客数","当月","4","1","0","0","0","0","5","0","0","0","0","0","0","5"
"","","","前年","0","1","0","0","0","1","2","1","0","1","0","0","1","5"
"","","","前年比","0","100","0","0","0","0","250","0","0","0","0","0","0","100"
"","湧永製品","売上","当月","1,340,560","1,649,399","1,370,311","1,484,145","1,671,946","1,171,948","8,688,309","859,067","0","0","0","0","0","9,547,376"
"","","","前年","1,196,738","1,756,988","1,090,344","1,365,537","1,154,641","1,582,603","8,146,851","1,328,387","1,736,723","1,014,308","1,610,751","1,263,978","1,900,008","17,001,006"
"","","","前年比","112","94","126","109","145","74","107","65","0","0","0","0","0","56"
"","","粗利","当月","714,258","720,074","721,782","813,243","901,216","654,339","4,524,912","473,804","0","0","0","0","0","4,998,716"
"","","","前年","648,228","932,435","583,399","733,158","615,318","809,527","4,322,065","726,757","904,800","539,716","853,571","677,329","1,036,896","9,061,134"
"","","","前年比","110","77","124","111","146","81","105","65","0","0","0","0","0","55"
"","","客数","当月","207","228","230","223","230","204","1,322","159","0","0","0","0","0","1,481"
"","","","前年","168","263","172","195","176","242","1,216","218","271","227","266","190","276","2,664"
"","","","前年比","123","87","134","114","131","84","109","73","0","0","0","0","0","56"
"","資生堂化粧品","売上","当月","79,048","71,814","76,655","81,280","77,841","114,457","501,095","79,173","0","0","0","0","0","580,268"
"","","","前年","78,246","209,991","79,907","83,410","64,829","118,973","635,356","78,903","82,556","112,350","97,338","65,725","142,830","1,215,058"
"","","","前年比","101","34","96","97","120","96","79","100","0","0","0","0","0","48"
"","","粗利","当月","12,741","13,033","16,009","16,802","16,467","25,447","100,499","13,066","0","0","0","0","0","113,565"
"","","","前年","15,815","47,196","15,630","16,229","10,784","25,635","131,289","16,349","16,606","22,304","20,740","15,025","30,106","252,419"
"","","","前年比","81","28","102","104","153","99","77","80","0","0","0","0","0","45"
"","","客数","当月","56","42","62","48","56","62","326","47","0","0","0","0","0","373"
"","","","前年","40","108","51","48","53","68","368","50","54","63","63","45","62","705"
"","","","前年比","140","39","122","100","106","91","89","94","0","0","0","0","0","53"
"","コーセー化粧品","売上","当月","807","380","0","703","0","0","1,890","380","0","0","0","0","0","2,270"
"","","","前年","0","3,010","380","722","380","1,614","6,106","380","380","380","0","745","722","8,713"
"","","","前年比","0","13","0","97","0","0","31","100","0","0","0","0","0","26"
"","","粗利","当月","211","116","0","175","0","0","502","116","0","0","0","0","0","618"
"","","","前年","0","822","116","126","116","422","1,602","116","116","116","0","149","194","2,293"
"","","","前年比","0","14","0","139","0","0","31","100","0","0","0","0","0","27"
"","","客数","当月","2","1","0","2","0","0","5","1","0","0","0","0","0","6"
"","","","前年","0","5","1","2","1","3","12","1","1","1","0","2","2","19"
"","","","前年比","0","20","0","100","0","0","42","100","0","0","0","0","0","32"
"634　プラファ店","食品","売上","当月","225,597","305,764","458,841","355,332","400,443","350,931","2,096,908","226,179","0","0","0","0","0","2,323,087"
"","","","前年","190,102","210,770","399,072","258,131","420,719","290,664","1,769,458","369,135","307,400","376,333","314,822","222,718","387,638","3,747,504"
"","","","前年比","119","145","115","138","95","121","119","61","0","0","0","0","0","62"
"","","粗利","当月","92,574","114,752","156,683","134,580","137,657","140,618","776,864","75,381","0","0","0","0","0","852,245"
"","","","前年","71,241","75,907","120,665","102,752","155,723","113,498","639,786","144,604","113,871","124,002","120,536","79,425","133,859","1,356,083"
"","","","前年比","130","151","130","131","88","124","121","52","0","0","0","0","0","63"
"","","客数","当月","104","133","179","157","183","150","906","130","0","0","0","0","0","1,036"
"","","","前年","113","118","175","134","175","155","870","206","195","162","135","114","166","1,848"
"","","","前年比","92","113","102","117","105","97","104","63","0","0","0","0","0","56"
"","日用雑貨","売上","当月","476,288","374,514","495,785","437,803","494,162","433,980","2,712,532","347,419","0","0","0","0","0","3,059,951"
"","","","前年","465,770","467,356","528,482","407,089","500,014","421,657","2,790,368","536,041","574,687","515,000","449,171","478,550","560,242","5,904,059"
"","","","前年比","102","80","94","108","99","103","97","65","0","0","0","0","0","52"
"","","粗利","当月","136,652","103,355","117,906","123,039","122,408","117,205","720,565","95,586","0","0","0","0","0","816,151"
"","","","前年","132,487","111,358","146,550","107,925","144,041","112,084","754,445","129,440","160,289","149,925","125,574","100,303","149,589","1,569,565"
"","","","前年比","103","93","80","114","85","105","96","74","0","0","0","0","0","52"
"","","客数","当月","544","572","721","592","667","569","3,665","430","0","0","0","0","0","4,095"
"","","","前年","635","624","616","578","604","567","3,624","709","713","590","548","632","759","7,575"
"","","","前年比","86","92","117","102","110","100","101","61","0","0","0","0","0","54"
"","ＯＴＣ医薬品類","売上","当月","712,196","670,563","1,119,802","939,435","1,202,770","1,049,681","5,694,447","760,970","0","0","0","0","0","6,455,417"
"","","","前年","838,078","962,350","1,263,207","824,504","1,267,908","981,570","6,137,617","1,015,137","1,170,143","1,149,117","1,008,825","916,489","1,296,251","12,693,579"
"","","","前年比","85","70","89","114","95","107","93","75","0","0","0","0","0","51"
"","","粗利","当月","294,817","256,681","433,413","403,831","505,662","430,238","2,324,642","311,386","0","0","0","0","0","2,636,028"
"","","","前年","358,391","424,040","536,072","358,251","567,324","417,302","2,661,380","433,288","501,706","478,805","434,104","380,929","503,335","5,393,547"
"","","","前年比","82","61","81","113","89","103","87","72","0","0","0","0","0","49"
"","","客数","当月","445","367","624","507","557","534","3,034","359","0","0","0","0","0","3,393"
"","","","前年","425","473","598","470","583","540","3,089","531","554","563","485","440","586","6,248"
"","","","前年比","105","78","104","108","96","99","98","68","0","0","0","0","0","54"
"","化粧品","売上","当月","361,893","458,497","536,049","451,107","538,362","482,101","2,828,009","209,666","0","0","0","0","0","3,037,675"
"","","","前年","347,395","347,734","378,549","418,367","452,240","334,070","2,278,355","436,230","354,483","411,703","448,387","463,648","492,563","4,885,369"
"","","","前年比","104","132","142","108","119","144","124","48","0","0","0","0","0","62"
"","","粗利","当月","127,920","164,746","197,681","169,551","180,893","169,347","1,010,138","61,313","0","0","0","0","0","1,071,451"
"","","","前年","125,790","134,482","131,613","164,534","182,037","122,494","860,950","182,997","140,220","148,988","159,367","172,351","181,713","1,846,586"
"","","","前年比","102","123","150","103","99","138","117","34","0","0","0","0","0","58"
"","","客数","当月","147","148","177","138","180","131","921","79","0","0","0","0","0","1,000"
"","","","前年","155","138","165","133","141","110","842","121","127","141","151","157","179","1,718"
"","","","前年比","95","107","107","104","128","119","109","65","0","0","0","0","0","58"
"","家庭用品","売上","当月","1,539","2,412","4,041","3,132","3,355","2,302","16,781","2,838","0","0","0","0","0","19,619"
"","","","前年","2,039","2,626","2,023","1,514","1,417","1,428","11,047","776","1,356","1,676","2,156","3,521","4,261","24,793"
"","","","前年比","75","92","200","207","237","161","152","366","0","0","0","0","0","79"
"","","粗利","当月","212","451","700","617","528","417","2,925","341","0","0","0","0","0","3,266"
"","","","前年","289","556","443","309","303","273","2,173","115","276","475","577","876","912","5,404"
"","","","前年比","73","81","158","200","174","153","135","297","0","0","0","0","0","60"
"","","客数","当月","14","19","28","24","24","22","131","19","0","0","0","0","0","150"
"","","","前年","13","14","9","9","8","9","62","7","10","6","12","11","22","130"
"","","","前年比","108","136","311","267","300","244","211","271","0","0","0","0","0","115"
"","耐久消費財","売上","当月","5,740","5,320","5,740","0","2,380","2,380","21,560","980","0","0","0","0","0","22,540"
"","","","前年","7,140","6,720","0","980","4,522","0","19,362","0","0","980","0","5,740","980","27,062"
"","","","前年比","80","79","0","0","53","0","111","0","0","0","0","0","0","83"
"","","粗利","当月","2,120","2,210","2,120","0","830","830","8,110","460","0","0","0","0","0","8,570"
"","","","前年","2,490","2,580","0","460","2,972","0","8,502","0","0","460","0","2,120","460","11,542"
"","","","前年比","85","86","0","0","28","0","95","0","0","0","0","0","0","74"
"","","客数","当月","3","4","3","0","1","1","12","1","0","0","0","0","0","13"
"","","","前年","3","4","0","1","2","0","10","0","0","1","0","2","1","14"
"","","","前年比","100","100","0","0","50","0","120","0","0","0","0","0","0","93"
"","その他商品","売上","当月","7,700","0","0","0","0","0","7,700","0","0","0","0","0","0","7,700"
"","","","前年","0","8,980","0","0","8,082","0","17,062","0","8,980","0","0","0","0","26,042"
"","","","前年比","0","0","0","0","0","0","45","0","0","0","0","0","0","30"
"","","粗利","当月","700","0","0","0","0","0","700","0","0","0","0","0","0","700"
"","","","前年","0","1,747","0","0","1,082","0","2,829","0","1,980","0","0","0","0","4,809"
"","","","前年比","0","0","0","0","0","0","25","0","0","0","0","0","0","15"
"","","客数","当月","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"","","","前年","0","1","0","0","1","0","2","0","1","0","0","0","0","3"
"","","","前年比","0","0","0","0","0","0","50","0","0","0","0","0","0","33"
"","湧永製品","売上","当月","1,131,181","1,352,465","1,401,380","1,507,738","1,774,922","1,273,438","8,441,124","805,605","0","0","0","0","0","9,246,729"
"","","","前年","1,303,375","1,380,480","1,473,298","1,194,581","1,511,989","1,185,471","8,049,194","1,326,100","1,493,363","1,545,132","1,495,937","1,232,280","1,464,442","16,606,448"
"","","","前年比","87","98","95","126","117","107","105","61","0","0","0","0","0","56"
"","","粗利","当月","639,371","700,767","794,650","808,337","964,229","708,426","4,615,780","463,311","0","0","0","0","0","5,079,091"
"","","","前年","738,429","745,327","859,976","685,916","826,356","672,595","4,528,599","720,056","808,493","862,444","851,465","686,646","816,364","9,274,067"
"","","","前年比","87","94","92","118","117","105","102","64","0","0","0","0","0","55"
"","","客数","当月","149","176","208","180","192","155","1,060","103","0","0","0","0","0","1,163"
"","","","前年","159","167","169","157","183","145","980","188","205","190","179","166","186","2,094"
"","","","前年比","94","105","123","115","105","107","108","55","0","0","0","0","0","56"
"","その他","売上","当月","25,862","36,240","6,552","1,680","11,600","0","81,934","0","0","0","0","0","0","81,934"
"","","","前年","0","0","0","0","0","0","0","0","1,520","770","1,680","0","1,680","5,650"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","1,450"
"","","粗利","当月","14,055","20,566","3,752","980","6,360","0","45,713","0","0","0","0","0","0","45,713"
"","","","前年","0","0","0","0","0","0","0","0","480","70","980","0","980","2,510"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","1,821"
"","","客数","当月","10","13","4","1","5","0","33","0","0","0","0","0","0","33"
"","","","前年","0","0","0","0","0","0","0","0","1","1","1","0","1","4"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","825"
"636　砺波店","食品","売上","当月","394,655","235,658","211,105","246,051","268,869","363,119","1,719,457","164,275","0","0","0","0","0","1,883,732"
"","","","前年","441,651","259,705","229,051","289,888","332,511","509,705","2,062,511","258,814","358,027","290,110","319,548","232,103","227,854","3,748,967"
"","","","前年比","89","91","92","85","81","71","83","63","0","0","0","0","0","50"
"","","粗利","当月","184,020","80,565","80,758","105,807","102,152","143,629","696,931","76,067","0","0","0","0","0","772,998"
"","","","前年","203,755","89,307","84,181","113,442","147,534","232,750","870,969","99,718","156,577","109,708","131,760","87,838","84,974","1,541,544"
"","","","前年比","90","90","96","93","69","62","80","76","0","0","0","0","0","50"
"","","客数","当月","120","103","94","96","114","127","654","82","0","0","0","0","0","736"
"","","","前年","127","118","92","112","121","130","700","135","148","121","132","94","125","1,455"
"","","","前年比","94","87","102","86","94","98","93","61","0","0","0","0","0","51"
"","日用雑貨","売上","当月","290,369","281,648","302,808","228,784","313,447","213,864","1,630,920","170,791","0","0","0","0","0","1,801,711"
"","","","前年","336,259","241,331","249,112","232,848","263,403","266,470","1,589,423","240,033","273,518","247,305","236,475","201,860","277,587","3,066,201"
"","","","前年比","86","117","122","98","119","80","103","71","0","0","0","0","0","59"
"","","粗利","当月","87,359","89,348","96,920","55,488","120,800","59,126","509,041","50,546","0","0","0","0","0","559,587"
"","","","前年","107,220","53,902","62,089","79,446","89,232","73,063","464,952","53,967","71,862","61,918","73,805","42,863","50,667","820,034"
"","","","前年比","81","166","156","70","135","81","109","94","0","0","0","0","0","68"
"","","客数","当月","346","312","345","308","301","262","1,874","233","0","0","0","0","0","2,107"
"","","","前年","336","365","358","268","308","268","1,903","381","379","277","293","339","413","3,985"
"","","","前年比","103","85","96","115","98","98","98","61","0","0","0","0","0","53"
"","ＯＴＣ医薬品類","売上","当月","589,768","591,586","618,633","493,473","650,345","729,734","3,673,539","406,056","0","0","0","0","0","4,079,595"
"","","","前年","818,666","596,475","703,038","846,696","826,489","827,843","4,619,207","754,392","791,175","617,534","756,225","569,070","611,921","8,719,524"
"","","","前年比","72","99","88","58","79","88","80","54","0","0","0","0","0","47"
"","","粗利","当月","271,656","255,658","277,765","240,678","307,815","310,274","1,663,846","211,367","0","0","0","0","0","1,875,213"
"","","","前年","405,931","295,604","314,922","429,071","411,981","400,492","2,258,001","373,414","380,864","290,261","368,476","262,481","274,004","4,207,501"
"","","","前年比","67","86","88","56","75","77","74","57","0","0","0","0","0","45"
"","","客数","当月","373","265","324","286","350","345","1,943","194","0","0","0","0","0","2,137"
"","","","前年","353","299","346","318","361","368","2,045","368","381","322","344","313","360","4,133"
"","","","前年比","106","89","94","90","97","94","95","53","0","0","0","0","0","52"
"","化粧品","売上","当月","240,109","157,053","225,933","162,966","309,122","114,141","1,209,324","89,258","0","0","0","0","0","1,298,582"
"","","","前年","253,520","251,596","228,409","221,669","300,132","211,831","1,467,157","225,052","161,314","127,438","163,855","203,769","216,761","2,565,346"
"","","","前年比","95","62","99","74","103","54","82","40","0","0","0","0","0","51"
"","","粗利","当月","90,429","46,554","88,420","64,898","128,860","45,794","464,955","37,045","0","0","0","0","0","502,000"
"","","","前年","108,535","12,674","81,210","82,509","113,346","90,026","488,300","85,681","55,728","48,339","66,665","78,909","77,620","901,242"
"","","","前年比","83","367","109","79","114","51","95","43","0","0","0","0","0","56"
"","","客数","当月","68","57","75","39","72","42","353","31","0","0","0","0","0","384"
"","","","前年","61","75","68","68","69","55","396","67","49","41","52","56","76","737"
"","","","前年比","111","76","110","57","104","76","89","46","0","0","0","0","0","52"
"","家庭用品","売上","当月","827","588","296","98","294","196","2,299","0","0","0","0","0","0","2,299"
"","","","前年","0","198","388","788","596","604","2,574","2,582","392","432","200","594","196","6,970"
"","","","前年比","0","297","76","12","49","32","89","0","0","0","0","0","0","33"
"","","粗利","当月","127","108","40","18","54","36","383","0","0","0","0","0","0","383"
"","","","前年","0","22","70","214","130","112","548","712","72","112","40","144","36","1,664"
"","","","前年比","0","491","57","8","42","32","70","0","0","0","0","0","0","23"
"","","客数","当月","5","4","2","1","3","2","17","0","0","0","0","0","0","17"
"","","","前年","0","1","2","2","2","3","10","9","3","4","2","3","2","33"
"","","","前年比","0","400","100","50","150","67","170","0","0","0","0","0","0","52"
"","耐久消費財","売上","当月","934","0","0","0","934","0","1,868","0","0","0","0","0","0","1,868"
"","","","前年","0","15,600","0","0","0","10,800","26,400","934","0","934","0","0","0","28,268"
"","","","前年比","0","0","0","0","0","0","7","0","0","0","0","0","0","7"
"","","粗利","当月","414","0","0","0","414","0","828","0","0","0","0","0","0","828"
"","","","前年","0","5,504","0","0","0","3,318","8,822","414","0","414","0","0","0","9,650"
"","","","前年比","0","0","0","0","0","0","9","0","0","0","0","0","0","9"
"","","客数","当月","1","0","0","0","1","0","2","0","0","0","0","0","0","2"
"","","","前年","0","2","0","0","0","1","3","1","0","1","0","0","0","5"
"","","","前年比","0","0","0","0","0","0","67","0","0","0","0","0","0","40"
"","湧永製品","売上","当月","1,825,572","1,806,095","2,276,507","1,412,175","1,847,124","1,625,235","10,792,708","884,171","0","0","0","0","0","11,676,879"
"","","","前年","2,905,979","2,512,284","1,833,969","2,110,000","1,634,839","1,971,240","12,968,311","1,961,586","2,433,231","1,575,990","1,970,781","1,365,222","2,215,241","24,490,362"
"","","","前年比","63","72","124","67","113","82","83","45","0","0","0","0","0","48"
"","","粗利","当月","956,120","772,589","1,233,781","740,313","976,805","780,113","5,459,721","481,007","0","0","0","0","0","5,940,728"
"","","","前年","1,658,744","1,316,469","1,017,958","1,136,834","949,650","1,086,748","7,166,403","1,101,431","1,307,800","861,284","1,035,542","757,247","1,136,704","13,366,411"
"","","","前年比","58","59","121","65","103","72","76","44","0","0","0","0","0","44"
"","","客数","当月","176","193","198","163","209","175","1,114","114","0","0","0","0","0","1,228"
"","","","前年","185","238","223","228","165","203","1,242","213","247","179","227","168","215","2,491"
"","","","前年比","95","81","89","71","127","86","90","54","0","0","0","0","0","49"
"639　大島店","食品","売上","当月","218,598","195,827","228,993","212,294","231,536","271,827","1,359,075","176,805","0","0","0","0","0","1,535,880"
"","","","前年","129,693","158,018","129,715","106,284","133,175","135,524","792,409","243,429","198,812","233,976","210,208","204,654","276,511","2,159,999"
"","","","前年比","169","124","177","200","174","201","172","73","0","0","0","0","0","71"
"","","粗利","当月","75,702","56,738","69,893","73,575","76,597","84,498","437,003","55,676","0","0","0","0","0","492,679"
"","","","前年","55,382","50,851","38,910","33,989","51,057","46,255","276,444","88,282","64,673","80,725","75,491","72,955","80,566","739,136"
"","","","前年比","137","112","180","216","150","183","158","63","0","0","0","0","0","67"
"","","客数","当月","115","110","129","98","127","154","733","106","0","0","0","0","0","839"
"","","","前年","76","89","67","71","76","93","472","128","126","123","116","110","140","1,215"
"","","","前年比","151","124","193","138","167","166","155","83","0","0","0","0","0","69"
"","日用雑貨","売上","当月","389,635","387,034","357,713","318,564","408,608","356,540","2,218,094","299,193","0","0","0","0","0","2,517,287"
"","","","前年","314,756","752,925","227,207","300,403","308,510","263,233","2,167,034","332,063","350,019","377,349","334,329","348,623","396,155","4,305,572"
"","","","前年比","124","51","157","106","132","135","102","90","0","0","0","0","0","58"
"","","粗利","当月","97,674","114,051","108,255","63,944","121,963","91,839","597,726","87,190","0","0","0","0","0","684,916"
"","","","前年","56,056","173,239","64,966","89,205","87,411","73,439","544,316","83,664","88,915","114,674","69,928","89,669","100,777","1,091,943"
"","","","前年比","174","66","167","72","140","125","110","104","0","0","0","0","0","63"
"","","客数","当月","525","446","462","467","476","462","2,838","368","0","0","0","0","0","3,206"
"","","","前年","546","855","342","400","415","386","2,944","490","527","491","573","468","550","6,043"
"","","","前年比","96","52","135","117","115","120","96","75","0","0","0","0","0","53"
"","ＯＴＣ医薬品類","売上","当月","683,877","686,000","809,091","622,138","782,265","721,629","4,305,000","525,433","0","0","0","0","0","4,830,433"
"","","","前年","649,008","1,079,307","649,017","451,157","638,268","821,797","4,288,554","781,285","782,894","754,711","782,061","739,579","887,291","9,016,375"
"","","","前年比","105","64","125","138","123","88","100","67","0","0","0","0","0","54"
"","","粗利","当月","317,828","287,230","368,945","274,110","331,720","288,398","1,868,231","229,773","0","0","0","0","0","2,098,004"
"","","","前年","284,303","447,412","275,999","195,119","272,598","410,561","1,885,992","367,495","368,164","330,726","346,518","342,257","386,325","4,027,477"
"","","","前年比","112","64","134","140","122","70","99","63","0","0","0","0","0","52"
"","","客数","当月","336","341","390","335","387","399","2,188","260","0","0","0","0","0","2,448"
"","","","前年","365","487","312","273","327","372","2,136","388","424","415","396","354","416","4,529"
"","","","前年比","92","70","125","123","118","107","102","67","0","0","0","0","0","54"
"","化粧品","売上","当月","478,501","308,761","444,041","450,520","438,368","479,101","2,599,292","249,061","0","0","0","0","0","2,848,353"
"","","","前年","394,652","752,835","374,832","548,615","396,550","572,869","3,040,353","465,124","409,360","425,641","471,068","417,463","564,709","5,793,718"
"","","","前年比","121","41","118","82","111","84","85","54","0","0","0","0","0","49"
"","","粗利","当月","183,325","33,345","183,915","176,347","171,312","190,497","938,741","97,443","0","0","0","0","0","1,036,184"
"","","","前年","162,893","291,138","152,085","202,084","156,534","234,106","1,198,840","191,736","151,482","177,711","177,660","161,061","220,299","2,278,789"
"","","","前年比","113","11","121","87","109","81","78","51","0","0","0","0","0","45"
"","","客数","当月","97","79","82","87","94","96","535","55","0","0","0","0","0","590"
"","","","前年","87","180","92","105","98","112","674","85","79","98","105","100","134","1,275"
"","","","前年比","111","44","89","83","96","86","79","65","0","0","0","0","0","46"
"","家庭用品","売上","当月","276","98","490","196","196","0","1,256","0","0","0","0","0","0","1,256"
"","","","前年","0","873","808","107","428","0","2,216","88","196","0","98","0","196","2,794"
"","","","前年比","0","11","61","183","46","0","57","0","0","0","0","0","0","45"
"","","粗利","当月","33","18","90","36","36","0","213","0","0","0","0","0","0","213"
"","","","前年","0","137","160","27","108","0","432","8","36","0","23","0","46","545"
"","","","前年比","0","13","56","133","33","0","49","0","0","0","0","0","0","39"
"","","客数","当月","2","1","4","1","2","0","10","0","0","0","0","0","0","10"
"","","","前年","0","6","5","1","3","0","15","1","1","0","1","0","2","20"
"","","","前年比","0","17","80","100","67","0","67","0","0","0","0","0","0","50"
"","文化用品","売上","当月","478","58","58","232","58","0","884","0","0","0","0","0","0","884"
"","","","前年","47","1,691","56","58","103","62","2,017","58","116","0","0","183","298","2,672"
"","","","前年比","1,017","3","104","400","56","0","44","0","0","0","0","0","0","33"
"","","粗利","当月","198","29","29","116","29","0","401","0","0","0","0","0","0","401"
"","","","前年","-3","688","27","29","9","4","754","29","58","0","0","108","104","1,053"
"","","","前年比","-6,600","4","107","400","322","0","53","0","0","0","0","0","0","38"
"","","客数","当月","3","1","1","2","1","0","8","0","0","0","0","0","0","8"
"","","","前年","1","6","1","1","1","1","11","1","2","0","0","2","4","20"
"","","","前年比","300","17","100","200","100","0","73","0","0","0","0","0","0","40"
"","湧永製品","売上","当月","1,819,762","1,084,889","1,087,206","1,199,739","1,469,532","876,141","7,537,269","786,348","0","0","0","0","0","8,323,617"
"","","","前年","837,267","997,661","916,137","815,442","758,489","1,181,979","5,506,975","1,319,363","1,325,486","1,162,053","1,019,598","925,485","1,292,388","12,551,348"
"","","","前年比","217","109","119","147","194","74","137","60","0","0","0","0","0","66"
"","","粗利","当月","1,061,360","481,893","585,971","686,582","803,229","497,483","4,116,518","439,524","0","0","0","0","0","4,556,042"
"","","","前年","460,936","513,251","508,998","452,613","440,615","661,705","3,038,118","718,379","745,528","630,370","570,167","512,428","699,487","6,914,477"
"","","","前年比","230","94","115","152","182","75","135","61","0","0","0","0","0","66"
"","","客数","当月","133","134","137","161","163","123","851","106","0","0","0","0","0","957"
"","","","前年","111","146","117","112","111","154","751","187","198","163","135","128","177","1,739"
"","","","前年比","120","92","117","144","147","80","113","57","0","0","0","0","0","55"
"063　ミラドラ","食品","売上","当月","582,220","556,667","659,609","616,143","551,518","537,804","3,503,961","372,226","0","0","0","0","0","3,876,187"
"","","","前年","677,467","584,090","759,357","695,608","634,534","610,979","3,962,035","905,897","986,878","856,612","655,593","541,679","475,471","8,384,165"
"","","","前年比","86","95","87","89","87","88","88","41","0","0","0","0","0","46"
"","","粗利","当月","165,107","138,863","161,634","169,713","132,610","133,897","901,824","103,381","0","0","0","0","0","1,005,205"
"","","","前年","178,829","138,255","206,372","155,656","165,694","154,738","999,544","263,274","279,073","233,893","168,506","138,942","115,424","2,198,656"
"","","","前年比","92","100","78","109","80","87","90","39","0","0","0","0","0","46"
"","","客数","当月","190","186","210","203","199","198","1,186","141","0","0","0","0","0","1,327"
"","","","前年","292","279","277","312","251","227","1,638","250","250","232","246","218","192","3,026"
"","","","前年比","65","67","76","65","79","87","72","56","0","0","0","0","0","44"
"","日用雑貨","売上","当月","349,654","410,771","347,471","355,475","266,692","261,955","1,992,018","201,175","0","0","0","0","0","2,193,193"
"","","","前年","543,438","392,067","382,330","403,428","364,729","384,747","2,470,739","350,738","396,076","324,426","340,184","303,378","384,417","4,569,958"
"","","","前年比","64","105","91","88","73","68","81","57","0","0","0","0","0","48"
"","","粗利","当月","58,314","93,328","72,750","67,209","52,443","51,221","395,265","34,585","0","0","0","0","0","429,850"
"","","","前年","93,386","71,496","65,559","74,121","64,956","70,990","440,508","60,804","70,448","56,280","56,893","49,670","59,960","794,563"
"","","","前年比","62","131","111","91","81","72","90","57","0","0","0","0","0","54"
"","","客数","当月","342","325","319","301","302","296","1,885","203","0","0","0","0","0","2,088"
"","","","前年","466","402","399","429","398","368","2,462","365","385","310","362","356","370","4,610"
"","","","前年比","73","81","80","70","76","80","77","56","0","0","0","0","0","45"
"","ＯＴＣ医薬品類","売上","当月","1,352,992","1,136,990","1,314,182","1,390,415","1,289,576","1,243,418","7,727,573","1,002,743","0","0","0","0","0","8,730,316"
"","","","前年","1,561,461","1,391,367","1,484,124","1,595,430","1,434,513","1,312,107","8,779,002","1,521,956","1,609,850","1,204,288","1,458,729","1,451,371","2,014,052","18,039,248"
"","","","前年比","87","82","89","87","90","95","88","66","0","0","0","0","0","48"
"","","粗利","当月","367,135","281,159","333,398","369,756","296,107","328,157","1,975,712","266,916","0","0","0","0","0","2,242,628"
"","","","前年","425,529","390,260","409,313","488,803","406,303","351,042","2,471,250","416,355","435,065","324,763","396,584","399,210","403,768","4,846,995"
"","","","前年比","86","72","81","76","73","93","80","64","0","0","0","0","0","46"
"","","客数","当月","366","322","390","360","342","337","2,117","226","0","0","0","0","0","2,343"
"","","","前年","406","405","429","458","431","396","2,525","411","439","364","421","413","431","5,004"
"","","","前年比","90","80","91","79","79","85","84","55","0","0","0","0","0","47"
"","化粧品","売上","当月","90,584","138,100","79,271","89,722","70,280","95,513","563,470","45,264","0","0","0","0","0","608,734"
"","","","前年","158,409","159,086","98,939","134,382","144,309","157,820","852,945","86,333","121,781","116,835","123,523","136,143","180,390","1,617,950"
"","","","前年比","57","87","80","67","49","61","66","52","0","0","0","0","0","38"
