移動日,移動元店舗,移動先店舗,商品コード,商品名,商品容量,数量,単価,金額,入力形能,入庫確定
"2022/11/01","630　しみず倉庫","パスコ店","4970511910029","ママは看護師さん　滅菌ガーゼ　Ｍ１０枚","１０枚","2","145","290","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4970643175631","伊井フクロオブラ－ト　５０枚","５０枚","2","150","300","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4971159015312","奥田薬品　伸縮性ネット包帯　指用３本入","指用３本入","2","97","194","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4971159015626","奥田製薬バブルデント入れ歯除菌洗浄剤　１２６錠","１２６錠","10","322","3,220","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4971159015886","パラ防虫剤　８００ｇ","８００ｇ","3","372","1,116","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4973202315097","コットンパフ　８０枚×２個","８０枚×２個","3","83","249","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4975175015721","大洋　白色ワセリン　１００ｇ","１００ｇ","1","220","220","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4975979101477","トピックＡＺトローチ","１８錠","2","165","330","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4975979383002","パンクMI錠　60錠","６０錠","1","466","466","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4978022101516","タイムリーフレッシュ詰替５００ｍｌ","５００ｍｌ","5","76","380","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987420050364","養命六神丸　366粒","３６６粒","1","4,802","4,802","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987420050371","養命六神丸　592粒","５９２粒","2","7,286","14,572","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4515748001760","イーシーエヴォリューション150ｇ","１５０ｇ","0","2,716","0","画面作成",""
"2022/11/01","630　しみず倉庫","パスコ店","4530896201367","ヘアスプレ－ス－パ－ハ－ド２００ｇ","２００ｇ","0","197","0","画面作成",""
"2022/11/01","630　しみず倉庫","パスコ店","4932765100274","スキンバイブル純粋オリーブオイル１５０ｍｌ","１５０ｍｌ","0","720","0","画面作成",""
"2022/11/01","630　しみず倉庫","プラファ店","4510662002114","貴好茶　８粒×３０包","８粒×３０包","2","2,850","5,700","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4560494600231","赤玉小粒はら薬　6包","６包","2","185","370","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4589818059425","ダイヤモンドマスクピュアホワイト30枚","３０枚入り","2","320","640","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4589818059432","ダイヤモンドマスクスイートピンク30枚","３０枚入り","2","320","640","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4901080726414","ポリデント　酵素入り　１０８錠＋６錠","１０８ジョウ","3","595","1,785","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4944661145419","ラクペタンエキ１００ｍｌ","１００ｍｌ","2","195","390","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4955982030131","恵命我神散Ｓ　細粒　３ｇ×６０包","３ｇ×６０包","1","2,470","2,470","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250164315","ワクナガ胃腸薬Ｇ　６００錠","６００錠","2","861","1,722","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250177117","トコベール３００Ｅ　１３０ｃｐ","１３０ｃｐ","1","1,765","1,765","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250199119","エナックＷ　１２６錠","１２６錠","2","927","1,854","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250260116","レオピンロイヤル　６０ｍｌ","６０ｍｌ","3","4,823","14,469","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","２４０ｍｌ","3","10,127","30,381","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250294111","プレビジョン　ラクッションプラス　２７０粒","２７０粒","3","1,692","5,076","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250303110","眠りエール　45ｶﾌﾟｾﾙ×2袋","４５ｃｐ　２","1","1,730","1,730","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250306210","PV　アクティブレインP　360粒","３６０粒","2","4,744","9,488","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250873118","フジビトール鼻炎薬Ｓ　１８ｃｐ","１８ｃｐ","1","375","375","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250873217","フジビトール鼻炎薬ｓ３６カプセル","３６ｃｐ","1","618","618","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250878113","オプターナ黄粋目薬　１５ｍｌ","１５ｍｌ","6","350","2,100","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4970511201370","かぜ・花粉マスク　ふつう　６０枚","６０枚","6","370","2,220","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4970643175624","伊井オブラ－ト　特大丸型２００枚","２００枚","3","135","405","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4970643175631","伊井フクロオブラ－ト　５０枚","５０枚","5","150","750","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4971159012090","奥田薬品　健康のどあめ　２８０ｇ","２８０ｇ","5","311","1,555","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4971159015886","パラ防虫剤　８００ｇ","８００ｇ","3","372","1,116","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4978022000918","クリームクレンザー ４００ｇ","４００ｇ","5","72","360","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987014012006","ミネドリン　６００ｍｌ","６００ｍｌ","1","858","858","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987014016509","バイトゴールド３０００　　100ml","１００ｍｌ","500","37","18,500","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987067205004","キャベジンコーワα　２００錠","２００錠","1","1,045","1,045","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987103036173","新ローヤルゼロントＢ　１００ｍｌ","１００ｍｌ","50","77","3,850","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987103049371","コンドロイチンＺＳ　４５０錠","４５０錠","2","6,000","12,000","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987123142021","タケダ漢方便秘薬　１２０錠","１２０錠","1","1,380","1,380","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987123142038","タケダ漢方便秘薬　１８０錠","１８０錠","1","1,780","1,780","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987299226716","クレマエースＥＸＰ　２７０錠","２７０錠","2","1,093","2,186","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987300048900","ラカルトメディキュア－　１００ｇ","１００ｇ","3","891","2,673","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306009790","大正漢方胃腸薬＜錠剤＞ 100 錠","１００ジョウ","1","798","798","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306021242","コーラック　６０錠","６０ジョウ","2","637","1,274","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306021259","コーラック　１２０錠","１２０錠","2","1,092","2,184","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306029088","センパア　ドリンク　２０ｍｌ×２本","２０ｍｌ×２","1","264","264","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306038646","歯医者さん 乳幼児 ふつう　（歯ブラシ０－３","１本","6","69","414","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306045125","パブロンゴールドＡ＜錠＞１３０錠","１３０錠","2","935","1,870","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306045149","パブロンゴールドＡ＜微粒＞２８包","２８包","2","935","1,870","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306045156","パブロンゴールドＡ＜微粒＞　４４包","４４包","4","1,375","5,500","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306054776","新ビオフェルミンＳ１３０錠","１３０錠","2","632","1,264","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306055544","ヴイックスメディケイテッドドロップ　レモン２０個","２０個","1","273","273","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987306055568","ヴイックスメディケイテッドドロップ　オレンジ２０個","２０個入","2","273","546","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987307240871","エバージェル V □注入軟膏２０ G","２０ｇ","2","391","782","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987420050371","養命六神丸　592粒","５９２粒","1","7,286","7,286","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987433120054","プラセントップ液３０ｍｌ","３０ｍｌ","40","310","12,400","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987487102730","タカミツホットリフェンダ　６枚","６枚","20","70","1,400","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987533012327","アスミンＡ顆粒１８包","１８Ｈ","2","411","822","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987533012358","アスミンＢ顆粒　１８Ｈ","１８Ｈ","3","411","1,233","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987533012419","アスミンＭ顆粒１８Ｈ","１８Ｈ","2","396","792","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4987475119375","ロキエフェクトＬＸテープ大判　 7 枚","7 枚","1","218","218","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4968250260130","レオピンロイヤル　２４０ｍｌ","２４０ｍｌ","2","15,347","30,694","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4954097910161","ファイトマンゼリー　ビタミン１８０ｇ","１８０ｇ","6","65","390","ハンディー",""
"2022/11/01","630　しみず倉庫","プラファ店","4515748001760","イーシーエヴォリューション150ｇ","１５０ｇ","0","2,716","0","画面作成",""
"2022/11/01","630　しみず倉庫","プラファ店","4987103034704","セルメＥＣ顆粒　９０包","９０包","0","2,680","0","画面作成",""
"2022/11/01","630　しみず倉庫","大島店","4515748001784","プレミアム１０　８５ｇ","８５","4","2,030","8,120","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4515748001791","プレミアム 10 エミュークリーム　 150 ｇ","１５０ｇ","4","3,230","12,920","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4515748001852","プレミアム１００エミューエッセンス 15 ｍｌ","１５ｍｌ","4","2,400","9,600","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4901080701114","新ポリグリップＳ　７５ｇ","７５ｇ","2","678","1,356","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4944661586137","バンダール液ＥＸ　 110 ｍｌ","１１０ｍｌ","2","358","716","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4954097910000","ファイトマンゼリー　エネルギー　１８０ｇ","１８０ｇ","3","65","195","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4954097916477","広貫堂ルイボス茶５００ｍｌ","５００ｍｌ","24","80","1,920","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4955982030155","恵命我神散Ｓ　細粒　３ｇ×１２０包","３ｇ×１２０","1","4,420","4,420","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250150226","フジビトール点鼻薬　１５ｍｌ","１５ｍｌ","2","251","502","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250161529","エナックロイヤル　 50 ｍｌ× 4","５０ｍｌ×４","2","1,058","2,116","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250177216","トコベール３００Ｅ　２６０ｃｐ","２６０ｃｐ","1","2,897","2,897","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250194213","グラッドル錠　１２０錠","１２０錠","2","1,969","3,938","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250199317","エナックＷ　５４０錠","５４０錠","2","3,091","6,182","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250260123","レオピンロイヤル　１２０ｍｌ","１２０ｍｌ","3","8,770","26,310","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250260130","レオピンロイヤル　２４０ｍｌ","２４０ｍｌ","2","15,347","30,694","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250270214","フジコールＷ　１８包","１８包","1","566","566","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250281326","キヨーレオピンキャプレットＳ２００錠","２００錠","2","2,326","4,652","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250293213","レオピンロイヤルキャプレット　１００錠","１００錠","1","4,959","4,959","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250305213","キヨーレオピンネオｗ　120ml","１２０ｍｌ","4","3,158","12,632","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250305312","キヨーレオピンネオｗ　240ml","２４０ｍｌ","2","5,570","11,140","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250843111","フジパイゾールＳ錠　９０錠","９０錠","2","902","1,804","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250853127","プレビジョン　乳酸菌＆カテキン　１８０錠","１８０粒","1","896","896","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250858115","プレビジョン　ビルベリー＆ＤＨＡ　１２０粒","１２０粒","6","1,692","10,152","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250867117","プレビジョン　カルマジン　８００粒","８００粒","2","1,108","2,216","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250870117","プレビジョン　バイタルウレア　１２０粒","１２０粒","1","1,795","1,795","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4970511099373","ＡＪＤエースバン　半透明Ｍ１００枚","１００枚","1","248","248","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4970511099441","エースバン　半透明　Ｌサイズ　３０枚","３０枚","4","148","592","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4970511930010","ママは看護師さん ワンタッチパッド Ｍ６枚","６枚","3","159","477","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4970643175624","伊井オブラ－ト　特大丸型２００枚","２００枚","3","135","405","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4970883012451","防水ワンタッチパッドＳ８枚","","2","192","384","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4970883012468","防水ワンタッチパッドＭ５枚","","2","199","398","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4971159015626","奥田製薬バブルデント入れ歯除菌洗浄剤　１２６錠","１２６錠","2","322","644","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4975979101477","トピックＡＺトローチ","１８錠","1","165","165","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4968250868114","プレビジョン　ウリラックス　１２０粒","１２０粒","3","1,859","5,577","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987014016509","バイトゴールド３０００　　100ml","１００ｍｌ","250","37","9,250","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987031002165","新大草延寿丸３２Ｈ","３２Ｈ","2","808","1,616","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987031002172","新大草延寿丸６４Ｈ","６４Ｈ","2","1,414","2,828","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987074300556","メディストロクリーム","20 ｇ","1","200","200","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987084418425","サンテアスティ　１５ｍｌ","１５ｍｌ","3","297","891","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987103043928","ワムナールＤＸ□　６５ｇ","６５　ｇ","1","518","518","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987103048718","ゼリアマスデントケア50ｇ","５０ｇ","1","640","640","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987103049371","コンドロイチンＺＳ　４５０錠","４５０錠","1","6,000","6,000","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987117398816","ソルマックプラス　２５ｍｌｘ２本","２５ｍｌｘ２","1","424","424","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987235044848","ＡＪＤ　パスタイムＨ　３０枚","３０枚","3","473","1,419","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987306021297","コーラックⅡ　４０錠","４０錠","1","423","423","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987306029088","センパア　ドリンク　２０ｍｌ×２本","２０ｍｌ×２","2","264","528","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987306045125","パブロンゴールドＡ＜錠＞１３０錠","１３０錠","1","935","935","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987306055506","ヴイックスメディケイテッドドロップ　レギュラー","２０個入","1","273","273","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987306055667","ヴイックスＭドロップ巨峰 20 個","２０個","1","273","273","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987316017013","新トニン咳止め液　６０ｍｌ","６０ｍｌ","5","554","2,770","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987334102401","本草製薬　センナ　４８包","４８包","3","283","849","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987402032104","エフストリン３０錠","３０錠","2","587","1,174","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987475119375","ロキエフェクトＬＸテープ大判　 7 枚","7 枚","2","218","436","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987487102730","タカミツホットリフェンダ　６枚","６枚","20","70","1,400","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987601217852","ステリコットアルファ ５２包","５２包","4","295","1,180","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987603114531","アイ浄綿　お徳用６０包","６０包","4","309","1,236","ハンディー",""
"2022/11/01","630　しみず倉庫","大島店","4987305321602","新リコリス　３本","３本","0","430","0","画面作成",""
"2022/11/01","630　しみず倉庫","大島店","4987306021242","コーラック　６０錠","６０ジョウ","0","637","0","画面作成",""
"2022/11/01","630　しみず倉庫","砺波店","4987469589221","ビフィズミン５６０錠","５６０錠","1","675","675","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4987306054813","ビオフェルミン下痢止め３０錠","３０Ｔ","2","550","1,100","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4515748001708","エミューゼリー筋肉（シークワーサー）３０包","３０Ｈ","1","3,436","3,436","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4515748001784","プレミアム１０　８５ｇ","８５","3","2,030","6,090","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4573204100013","ビタミンＣプレミオ３００ＣＰ","３００ｃｐ","2","3,675","7,350","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4582368480190","プラズマローゲン　６０粒","６０粒","2","2,769","5,538","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4954097915456","エブリサポート経口補水液５００ｍｌ","５００ｍｌ","24","66","1,584","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4955273804021","イオナ　エフ　ローション　　　　１２０ＭＬ","","1","1,600","1,600","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250130112","新ノイガンエス２５ｇ","２５ｇ","2","288","576","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250147110","セキセチン　咳止め１００ｍｌ","１００ｍｌ","1","354","354","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250150226","フジビトール点鼻薬　１５ｍｌ","１５ｍｌ","1","251","251","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250228116","新レブメント－ＦＮ　１５０ｍｌ","１５０ｍｌ","2","352","704","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","１２０ｍｌ","1","5,742","5,742","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","２４０ｍｌ","5","10,127","50,635","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250280329","レオピンファイブキャプレットＳ　２００錠","２００錠","1","5,213","5,213","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250281227","キョーレオピンキャプレットＳ 100 錠","１００錠","2","1,368","2,736","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250293312","レオピンロイヤルキャプレット　２００錠","２００錠","1","8,717","8,717","ハンディー",""
"2022/11/01","630　しみず倉庫","砺波店","4968250305114","キヨーレオピンネオｗ　60ml","６０ｍｌ","2","1,723","3,446","ハンディー",""
