店舗名,棚番(初回),棚番(最終),棚番(他),商品コード,商品名,税率,部門コード,部門名,大分類コード,大分類名,中分類コード,中分類名,仕入先コード,仕入先名,実棚数量(A),実績差異,本部原価(B),店舗原価(C),本部実棚金額(D=A×B),店舗実棚金額(E=A×C),実棚売価金額,単品売価,原価差額(B-C),実棚差額(D-E)
"佐世保本店","","","","4571347185478","DCS-01BK ｸﾘｰﾅｰｽﾀﾝﾄﾞ","0.00","16","クリーナー","0016","クリーナー","0160","スティック・ハンディクリーナー","0020","ジャパネット","1","0","2496.00","2496.00","2,496.00","2,496","9,073","9,073","2,496.00","0.00"
"佐世保本店","","","","4571347185485","HCS-03BK ｸﾘｰﾅｰｽﾀﾝﾄﾞ","10.00","16","クリーナー","0016","クリーナー","0160","スティック・ハンディクリーナー","0020","ジャパネット","1","0","2725.00","2725.00","2,725.00","2,725","7,980","7,980","2,725.00","0.00"
"佐世保本店","","","","4573198822960","2000037426 ﾌｰﾄﾞｾｰﾊﾞｰFM2010DTC","10.00","13","調理家電","0013","調理家電","0132","その他調理家電","0020","ジャパネット","1","0","6085.00","6085.00","6,085.00","6,085","13,800","13,800","6,085.00","0.00"
"佐世保本店","","","","4580620242166","FMVA40FRJ3 ﾉｰﾄﾊﾟｿｺﾝ 赤","0.00","09","パソコン","0009","パソコン","0090","パソコン本体","0020","ジャパネット","1","0","64480.00","64480.00","64,480.00","64,480","90,728","90,728","64,480.00","0.00"
"佐世保本店","","","","4582190033748","IT-A2L-11ｲﾙｺｯﾄ 2L-P","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","10","0","280.00","280.00","2,800.00","2,800","4,860","486","2,800.00","0.00"
"佐世保本店","","","","4582190033755","IT-A2L-12ｲﾙｺｯﾄ 2L-P","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","8","0","280.00","280.00","2,240.00","2,240","3,888","486","2,240.00","0.00"
"佐世保本店","","","","4582563850941","KMU-A016G ﾏｲｸﾛSDｶｰﾄﾞ","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0040","東芝","7","0","708.00","708.00","4,956.00","4,956","17,360","2,480","4,956.00","0.00"
"佐世保本店","","","","4582563850958","KMU-A032G ﾏｲｸﾛSDｶｰﾄﾞ","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0040","東芝","4","0","1068.00","1068.00","4,272.00","4,272","10,720","2,680","4,272.00","0.00"
"佐世保本店","","","","4582563850965","KMU-A064G ﾏｲｸﾛSDｶｰﾄﾞ","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0040","東芝","6","0","1788.00","1788.00","10,728.00","10,728","23,880","3,980","10,728.00","0.00"
"佐世保本店","","","","4582563850972","KMU-A128G ﾏｲｸﾛSDｶｰﾄﾞ","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0040","東芝","2","0","3288.00","3288.00","6,576.00","6,576","12,692","6,346","6,576.00","0.00"
"佐世保本店","","","","4582563851542","KSDU-A016G SDｶｰﾄﾞ","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0040","東芝","5","0","708.00","708.00","3,540.00","3,540","12,400","2,480","3,540.00","0.00"
"佐世保本店","","","","4582563851559","KSDU-A032G SDｶｰﾄﾞ","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0040","東芝","7","0","1068.00","1068.00","7,476.00","7,476","24,360","3,480","7,476.00","0.00"
"佐世保本店","","","","4589771641200","STH40DJPH ｵｰﾌﾟﾝｲﾔｰHP","10.00","08","オーディオ","0008","オーディオ","0086","ヘッドホン","0010","ソニー","2","0","3948.00","3948.00","7,896.00","7,896","12,980","6,490","7,896.00","0.00"
"佐世保本店","","","","4589771641217","STH40DJPP ｵｰﾌﾟﾝｲﾔｰHP","10.00","08","オーディオ","0008","オーディオ","0086","ヘッドホン","0010","ソニー","2","0","3948.00","3948.00","7,896.00","7,896","12,980","6,490","7,896.00","0.00"
"佐世保本店","","","","4901780006663","ME-L91D ｲﾔﾎﾝ","10.00","08","オーディオ","0008","オーディオ","0086","ヘッドホン","0010","ソニー","3","0","384.00","384.00","1,152.00","1,152","2,106","702","1,152.00","0.00"
"佐世保本店","","","","4901780034574","ME-L82 ｲﾔﾎﾝ","10.00","08","オーディオ","0008","オーディオ","0086","ヘッドホン","0010","ソニー","2","0","266.00","266.00","532.00","532","906","453","532.00","0.00"
"佐世保本店","","","","4901780035373","ME-83 ｲﾔﾎﾝ","10.00","08","オーディオ","0008","オーディオ","0086","ヘッドホン","0010","ソニー","3","0","295.00","295.00","885.00","885","1,620","540","885.00","0.00"
"佐世保本店","","","","4902205231455","ｱ-FTPW104-Pｶﾊﾞｰｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","6","0","315.00","315.00","1,890.00","1,890","3,828","638","1,890.00","0.00"
"佐世保本店","","","","4902205231462","ｱ-FTPW104-Vｶﾊﾞｰｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","315.00","315.00","315.00","315","626","626","315.00","0.00"
"佐世保本店","","","","4902205231479","ｱ-FTPW105-Gｶﾊﾞｰｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","315.00","315.00","315.00","315","626","626","315.00","0.00"
"佐世保本店","","","","4902205231875","ｱ-FTPW106-Rｶﾊﾞｰｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","2","0","315.00","315.00","630.00","630","1,252","626","630.00","0.00"
"佐世保本店","","","","4902205231882","ｱ-FTPW106-Bｶﾊﾞｰｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","2","0","315.00","315.00","630.00","630","1,252","626","630.00","0.00"
"佐世保本店","","","","4902205234890","ｱｶ-PVKG-401-1 Pｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","280.00","280.00","280.00","280","518","518","280.00","0.00"
"佐世保本店","","","","4902205234913","ｱｶ-PVKG-401-3 Pｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","2","0","280.00","280.00","560.00","560","1,036","518","560.00","0.00"
"佐世保本店","","","","4902205234937","ｱｶ-PVKG-401-5 Pｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","2","0","280.00","280.00","560.00","560","1,036","518","560.00","0.00"
"佐世保本店","","","","4902205234975","ｱｶ-PV2L-201-3 Pｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","260.00","260.00","260.00","260","486","486","260.00","0.00"
"佐世保本店","","","","4902205240426","A-FTPC-103-B ﾌｫﾄﾄﾗﾝｸ","0.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","445.00","445.00","445.00","445","750","750","445.00","0.00"
"佐世保本店","","","","4902205240433","A-FTPC-103-Y ﾌｫﾄﾄﾗﾝｸ","0.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","445.00","445.00","445.00","445","750","750","445.00","0.00"
"佐世保本店","","","","4902205311041","PHE1288A(P) ﾌｫﾄﾎﾙﾀﾞｰ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","380.00","380.00","380.00","380","748","748","380.00","0.00"
"佐世保本店","","","","4902205311089","PHE2288A(Y) ﾌｫﾄﾎﾙﾀﾞｰ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","380.00","380.00","380.00","380","734","734","380.00","0.00"
"佐世保本店","","","","4902205365549","CTPKL-80PKﾎﾟｹｯﾄｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","255.00","255.00","255.00","255","715","715","255.00","0.00"
"佐世保本店","","","","4902205365563","CTPL-80BUﾎﾟｹｯﾄｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","255.00","255.00","255.00","255","715","715","255.00","0.00"
"佐世保本店","","","","4902205366577","CTPKG-80PKﾎﾟｹｯﾄｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","392.00","392.00","392.00","392","748","748","392.00","0.00"
"佐世保本店","","","","4902205366775","CTPKG-80BUﾎﾟｹｯﾄｱﾙﾊﾞﾑ","10.00","03","写真用品","0003","写真用品","0032","アルバム","0032","パイオニア","1","0","392.00","392.00","392.00","392","734","734","392.00","0.00"
"佐世保本店","","","","4902205551393","NH-HT175M ｻｸｯﾄｶｯﾄﾁﾀﾝ","10.00","03","写真用品","0003","写真用品","0034","その他写真用品","0032","パイオニア","1","0","500.00","500.00","500.00","500","864","864","500.00","0.00"
"佐世保本店","","","","4902205552680","NH-HF175B ｻｸｯﾄｶｯﾄ B","10.00","03","写真用品","0003","写真用品","0034","その他写真用品","0032","パイオニア","3","0","380.00","380.00","1,140.00","1,140","1,944","648","1,140.00","0.00"
"佐世保本店","","","","4902205552796","NH-HF175P ｻｸｯﾄｶｯﾄ P","10.00","03","写真用品","0003","写真用品","0034","その他写真用品","0032","パイオニア","2","0","380.00","380.00","760.00","760","1,296","648","760.00","0.00"
"佐世保本店","","","","4902205873266","F-TMS-211R ﾌﾚｰﾑ","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0032","パイオニア","1","0","228.00","228.00","228.00","228","440","440","228.00","0.00"
"佐世保本店","","","","4902205873273","F-TMS-211B ﾌﾚｰﾑ","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0032","パイオニア","1","0","228.00","228.00","228.00","228","440","440","228.00","0.00"
"佐世保本店","","","","4902205873280","F-TMS-211G ﾌﾚｰﾑ","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0032","パイオニア","2","0","228.00","228.00","456.00","456","880","440","456.00","0.00"
"佐世保本店","","","","4902205873297","F-TMS-211LBR ﾌﾚｰﾑ","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0032","パイオニア","1","0","228.00","228.00","228.00","228","440","440","228.00","0.00"
"佐世保本店","","","","4902205873303","F-TMS-211BR ﾌﾚｰﾑ","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0032","パイオニア","2","0","228.00","228.00","456.00","456","880","440","456.00","0.00"
"佐世保本店","","","","4902205873310","F-TMS-211DBR ﾌﾚｰﾑ","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0032","パイオニア","1","0","228.00","228.00","228.00","228","440","440","228.00","0.00"
"佐世保本店","","","","4902530957754","K-F38S 外刃","10.00","19","理美容・健康・スポーツ","0019","理美容・健康・スポーツ","0191","シェーバー","0020","ジャパネット","1","0","2434.00","2434.00","2,434.00","2,434","3,820","3,820","2,434.00","0.00"
"佐世保本店","","","","4902704240651","LR44P ｱﾙｶﾘﾎﾞﾀﾝ電池","10.00","36","その他商品","0036","その他商品","0360","電池","0031","ナニワ商会","6","0","105.00","105.00","630.00","630","1,170","195","630.00","0.00"
"佐世保本店","","","","4902704242334","CR2016P ﾘﾁｳﾑｺｲﾝ電池","10.00","36","その他商品","0036","その他商品","0360","電池","0031","ナニワ商会","17","0","158.00","158.00","2,686.00","2,686","5,083","299","2,686.00","0.00"
"佐世保本店","","","","4902704242358","CR2032P ﾘﾁｳﾑｺｲﾝ電池","10.00","36","その他商品","0036","その他商品","0360","電池","0031","ナニワ商会","12","0","158.00","158.00","1,896.00","1,896","3,588","299","1,896.00","0.00"
"佐世保本店","","","","4904530022616","LR14H 4MP ｱﾙｶﾘ単2 4P","10.00","36","その他商品","0036","その他商品","0360","電池","0040","東芝","4","0","159.00","159.00","636.00","636","1,760","440","636.00","0.00"
