仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978128135","HK ﾆｯﾁｭｳﾋﾞﾊｸﾋﾞﾖｳｴｷ","10.00","5.00","3360.00","16800","5280","26400","9600","36.36"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978136086","HAKU ﾋﾞﾖｳｻﾌﾟﾘﾒﾝﾄ","10.00","4.00","3500.00","14000","5500","22000","8000","36.36"
"2022/06/01","540　さなだ店","0423","東邦薬品","01","食品","4901306074404","ｸﾞﾘｰﾝｽﾑｰｼﾞｰ","8.00","5.00","133.00","665","170","850","185","21.76"
"2022/06/01","540　さなだ店","0423","東邦薬品","01","食品","4973512278877","ﾗｶﾝﾄｶﾛﾘｰｾﾞﾛ飴　ミルク珈琲味","8.00","5.00","210.00","1050","300","1500","450","30"
"2022/06/01","540　さなだ店","0423","東邦薬品","01","食品","4987035576419","オーエスワン　５００ｍｌ","8.00","24.00","135.00","3240","200","4800","1560","32.5"
"2022/06/01","540　さなだ店","0423","東邦薬品","03","ＯＴＣ医薬品類","4987235022747","ﾊﾟｽﾀﾑLX","10.00","5.00","484.00","2420","858","4290","1870","43.59"
"2022/06/01","540　さなだ店","0423","東邦薬品","03","ＯＴＣ医薬品類","4987235022754","ﾊﾟｽﾀﾑLXｰL","10.00","5.00","814.00","4070","1518","7590","3520","46.38"
"2022/06/01","540　さなだ店","0423","東邦薬品","03","ＯＴＣ医薬品類","4987236000065","薬用養命酒 1000 ｍｌ","10.00","3.00","1760.00","5280","2178","6534","1254","19.19"
"2022/06/01","540　さなだ店","0423","東邦薬品","08","文化用品","4990097953555","LEDﾗｲﾄﾙｰﾍﾟ","10.00","3.00","1150.00","3450","2178","6534","3084","47.2"
"2022/06/01","540　さなだ店","0612","メディセオ","03","ＯＴＣ医薬品類","4987173083589","消毒用エタノール　  500  ｍｌ","10.00","10.00","804.00","8040","1111","11110","3070","27.63"
"2022/06/01","554　愛国東店","0918","住之江店","01","食品","4987596250018","ｸﾛﾚﾗ 　バイオリンク 1000","8.00","3.00","5060.00","15180","9936","29808","14628","49.07"
"2022/06/01","554　愛国東店","0918","住之江店","01","食品","4987596255563","ヤクケン　バイオリンクＢＣＥｘ５０３　３０ｍｌ×３","8.00","5.00","4537.00","22685","9720","48600","25915","53.32"
