日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"","","前年","3,042,040","2,765,607","0","276,433","924,214","33.42","233","512","11,870","2.20","5,401.58"
"","","前年比","11","11","0","11","19","169.05","8","8","1","0.93","1.45"
"","佐々店","当日","285,729","259,759","0","25,970","83,247","32.05","16","26","16,235","1.63","9,990.73"
"","","累計","9,375,349","8,523,198","0","852,151","2,749,662","32.26","468","5,911","18,212","12.63","1,441.92"
"","","前年","7,233,794","6,576,419","407","656,968","2,249,849","34.21","580","8,171","11,339","14.09","804.85"
"","","前年比","130","130","0","130","122","94.30","81","72","2","0.90","1.79"
"","佐世保本店","当日","41,980","38,166","0","3,814","9,925","26.00","5","10","7,633","2.00","3,816.60"
"","","累計","5,862,412","5,329,907","1,480","531,025","1,938,317","36.37","355","4,558","15,014","12.84","1,169.35"
"","","前年","3,488,186","3,181,243","659","306,284","1,171,382","36.82","326","2,667","9,758","8.18","1,192.82"
"","","前年比","168","168","225","173","165","98.77","109","171","2","1.57","0.98"
"","大塔店","当日","129,770","117,974","0","11,796","61,304","51.96","10","8","11,797","0.80","14,746.75"
"","","累計","14,718,333","13,380,838","1,928","1,335,567","4,636,544","34.65","338","912","39,588","2.70","14,671.97"
"","","前年","12,640,388","11,491,371","0","1,149,017","3,949,733","34.37","377","2,084","30,481","5.53","5,514.09"
"","","前年比","116","116","0","116","117","100.81","90","44","1","0.49","2.66"
"2022/09/29","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","336,600","306,012","0","30,588","172,874","56.49","19","39","16,106","2.05","7,846.46"
"","","前年","3,153,970","2,867,366","0","286,604","974,185","33.97","242","532","11,849","2.20","5,389.79"
"","","前年比","11","11","0","11","18","166.28","8","7","1","0.93","1.46"
"","佐々店","当日","643,015","584,566","0","58,449","188,861","32.31","23","3,758","25,416","163.39","155.55"
"","","累計","10,018,364","9,107,764","0","910,600","2,938,523","32.26","491","9,669","18,549","19.69","941.96"
"","","前年","7,516,750","6,833,659","407","682,684","2,333,574","34.15","599","8,409","11,408","14.04","812.66"
"","","前年比","133","133","0","133","126","94.48","82","115","2","1.40","1.16"
"","佐世保本店","当日","334,216","303,837","0","30,379","108,453","35.69","13","46","23,372","3.54","6,605.15"
"","","累計","6,196,628","5,633,744","1,480","561,404","2,046,770","36.33","368","4,604","15,309","12.51","1,223.66"
"","","前年","3,698,723","3,372,646","659","325,418","1,249,603","37.05","343","2,819","9,833","8.22","1,196.40"
"","","前年比","168","167","225","173","164","98.06","107","163","2","1.52","1.02"
"","大塔店","当日","482,470","438,612","0","43,858","134,137","30.58","17","133","25,801","7.82","3,297.83"
"","","累計","15,200,803","13,819,450","1,928","1,379,425","4,770,681","34.52","355","1,045","38,928","2.94","13,224.35"
"","","前年","12,828,298","11,662,200","0","1,166,098","4,021,609","34.48","384","2,095","30,370","5.46","5,566.68"
"","","前年比","118","118","0","118","119","100.11","92","50","1","0.54","2.38"
"2022/09/30","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","13,940","12,673","0","1,267","7,306","57.65","2","4","6,337","2.00","3,168.25"
"","","累計","350,540","318,685","0","31,855","180,180","56.54","21","43","15,175","2.05","7,411.28"
"","","前年","3,373,350","3,066,808","0","306,542","997,689","32.53","250","551","12,267","2.20","5,565.89"
"","","前年比","10","10","0","10","18","173.79","8","8","1","0.93","1.33"
"","佐々店","当日","190,848","173,502","0","17,346","53,727","30.97","11","170","15,773","15.45","1,020.60"
"","","累計","10,209,212","9,281,266","0","927,946","2,992,250","32.24","502","9,839","18,489","19.60","943.31"
"","","前年","7,823,828","7,112,829","407","710,592","2,422,173","34.05","626","8,886","11,362","14.19","800.45"
"","","前年比","130","130","0","131","124","94.67","80","111","2","1.38","1.18"
"","佐世保本店","当日","121,836","110,764","0","11,072","38,020","34.33","10","99","11,076","9.90","1,118.83"
"","","累計","6,318,464","5,744,508","1,480","572,476","2,084,790","36.29","378","4,703","15,197","12.44","1,221.46"
"","","前年","3,725,873","3,397,330","659","327,884","1,253,223","36.89","349","2,839","9,734","8.13","1,196.66"
"","","前年比","170","169","225","175","166","98.38","108","166","2","1.53","1.02"
"","大塔店","当日","138,660","126,058","0","12,602","45,467","36.07","8","18","15,757","2.25","7,003.22"
"","","累計","15,339,463","13,945,508","1,928","1,392,027","4,816,148","34.54","363","1,063","38,417","2.93","13,119.01"
"","","前年","12,981,798","11,801,747","0","1,180,051","4,155,570","35.21","397","2,109","29,727","5.31","5,595.90"
"","","前年比","118","118","0","118","116","98.08","91","50","1","0.55","2.34"
"2022/10/01","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","64,520","58,655","0","5,865","27,508","46.90","3","7","19,552","2.33","8,379.29"
"","","累計","64,520","58,655","0","5,865","27,508","46.90","3","7","19,552","2.33","8,379.29"
"","","前年","36,910","33,558","0","3,352","13,510","40.26","6","13","5,593","2.17","2,581.38"
"","","前年比","175","175","0","175","204","116.49","50","54","3","1.08","3.25"
"","佐々店","当日","388,362","353,064","0","35,298","146,953","41.62","25","504","14,123","20.16","700.52"
"","","累計","388,362","353,064","0","35,298","146,953","41.62","25","504","14,123","20.16","700.52"
"","","前年","54,959","49,967","0","4,992","26,663","53.36","15","425","3,331","28.33","117.57"
"","","前年比","707","707","0","707","551","78.00","167","119","4","0.71","5.96"
"","佐世保本店","当日","376,458","342,238","0","34,220","79,575","23.25","12","50","28,520","4.17","6,844.76"
"","","累計","376,458","342,238","0","34,220","79,575","23.25","12","50","28,520","4.17","6,844.76"
"","","前年","61,874","56,252","0","5,622","19,585","34.82","9","32","6,250","3.56","1,757.88"
"","","前年比","608","608","0","609","406","66.78","133","156","5","1.17","3.89"
"","大塔店","当日","572,480","520,439","0","52,041","174,361","33.50","10","29","52,044","2.90","17,946.17"
"","","累計","572,480","520,439","0","52,041","174,361","33.50","10","29","52,044","2.90","17,946.17"
"","","前年","45,440","41,312","0","4,128","21,519","52.09","6","23","6,885","3.83","1,796.17"
"","","前年比","1,260","1,260","0","1,261","810","64.32","167","126","8","0.76","9.99"
"2022/10/02","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","64,520","58,655","0","5,865","27,508","46.90","3","7","19,552","2.33","8,379.29"
"","","前年","46,420","42,205","0","4,215","17,769","42.10","8","17","5,276","2.13","2,482.65"
"","","前年比","139","139","0","139","155","111.39","38","41","4","1.10","3.38"
"","佐々店","当日","57,603","52,371","0","5,232","25,068","47.87","13","521","4,029","40.08","100.52"
"","","累計","445,965","405,435","0","40,530","172,021","42.43","38","1,025","10,669","26.97","395.55"
"","","前年","79,268","72,069","0","7,199","39,220","54.42","27","541","2,669","20.04","133.21"
"","","前年比","563","563","0","563","439","77.97","141","189","4","1.35","2.97"
"","佐世保本店","当日","60,235","54,762","0","5,473","20,730","37.85","12","224","4,564","18.67","244.47"
"","","累計","436,693","397,000","0","39,693","100,305","25.27","24","274","16,542","11.42","1,448.91"
"","","前年","519,040","472,026","720","46,294","175,732","37.23","25","73","18,881","2.92","6,466.11"
"","","前年比","84","84","0","86","57","67.87","96","375","1","3.91","0.22"
"","大塔店","当日","788,242","716,589","0","71,653","245,238","34.22","22","32","32,572","1.45","22,393.41"
"","","累計","1,360,722","1,237,028","0","123,694","419,599","33.92","32","61","38,657","1.91","20,279.15"
"","","前年","398,140","361,954","0","36,186","139,045","38.42","21","44","17,236","2.10","8,226.23"
"","","前年比","342","342","0","342","302","88.30","152","139","2","0.91","2.47"
"2022/10/03","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","64,520","58,655","0","5,865","27,508","46.90","3","7","19,552","2.33","8,379.29"
"","","前年","46,420","42,205","0","4,215","17,769","42.10","8","17","5,276","2.13","2,482.65"
"","","前年比","139","139","0","139","155","111.39","38","41","4","1.10","3.38"
"","佐々店","当日","60,966","55,427","0","5,539","19,872","35.85","16","131","3,464","8.19","423.11"
"","","累計","506,931","460,862","0","46,069","191,893","41.64","54","1,156","8,534","21.41","398.67"
"","","前年","306,816","278,937","0","27,879","116,397","41.73","44","771","6,339","17.52","361.79"
"","","前年比","165","165","0","165","165","99.78","123","150","1","1.22","1.10"
"","佐世保本店","当日","136,596","124,182","0","12,414","40,936","32.96","12","148","10,349","12.33","839.07"
"","","累計","573,289","521,182","0","52,107","141,241","27.10","36","422","14,477","11.72","1,235.03"
"","","前年","940,880","855,520","720","84,640","266,013","31.09","32","112","26,735","3.50","7,638.57"
"","","前年比","61","61","0","62","53","87.16","113","377","1","3.35","0.16"
"","大塔店","当日","181,040","164,583","0","16,457","39,350","23.91","10","7","16,458","0.70","23,511.86"
"","","累計","1,541,762","1,401,611","0","140,151","458,949","32.74","42","68","33,372","1.62","20,611.93"
"","","前年","1,799,380","1,635,816","0","163,564","515,908","31.54","42","82","38,948","1.95","19,948.98"
"","","前年比","86","86","0","86","89","103.82","100","83","1","0.83","1.03"
"2022/10/04","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
