日付,店舗名,部門名,内訳,売上金額,粗利金額,粗利率,数量,客数
"","","資DPEMNAQRKI","当日","0","0","0","0","0"
"","","","累計","199,108","59,377","29.82","65","25"
"","","","前年","260,851","74,669","28.63","73","32"
"","","","前年比","76","80","104.18","89","78"
"","","資生堂EIS　MQ","当日","4,565","990","21.69","4","3"
"","","","累計","270,346","62,372","23.07","106","54"
"","","","前年","205,392","45,304","22.06","63","46"
"","","","前年比","132","138","104.60","168","117"
"","","資生堂バラ園　PFA","当日","0","0","0","0","0"
"","","","累計","36,922","6,660","18.04","27","22"
"","","","前年","15,466","2,764","17.87","12","10"
"","","","前年比","239","241","100.93","225","220"
"","","資生堂フィ　アデノゲ","当日","0","0","0","0","0"
"","","","累計","42,510","7,860","18.49","20","15"
"","","","前年","33,245","6,905","20.77","17","16"
"","","","前年比","128","114","89.02","118","94"
"2022/06/24","マプレ","","当日","0","0","0","0","0"
"","","","累計","28,017","-1,853","-6.61","7","5"
"","","","前年","0","0","0","0","0"
"","","","前年比","0","0","0","0","0"
"","","資生堂化粧品","当日","236","-272","-115.25","1","1"
"","","","累計","40,051","2,656","6.63","29","21"
"","","","前年","49,035","4,993","10.18","28","24"
"","","","前年比","82","53","65.13","104","88"
"","","資生堂BQ","当日","21,120","7,104","33.64","5","2"
"","","","累計","1,286,502","433,990","33.73","264","93"
"","","","前年","1,454,303","442,648","30.44","294","94"
"","","","前年比","88","98","110.83","90","99"
"","","資生堂CBP","当日","19,601","5,535","28.24","2","2"
"","","","累計","948,080","312,343","32.94","81","38"
"","","","前年","1,033,492","319,493","30.91","87","32"
"","","","前年比","92","98","106.57","93","119"
"","","ﾌｨﾃｨｯﾄｱﾃﾞﾉｹﾞﾝ","当日","8,303","785","9.45","9","4"
"","","","累計","166,567","13,403","8.05","114","67"
"","","","前年","85,763","7,465","8.70","73","50"
"","","","前年比","194","180","92.44","156","134"
"","","資DPEMNAQRKI","当日","0","0","0","0","0"
"","","","累計","199,108","59,377","29.82","65","25"
"","","","前年","265,141","75,709","28.55","74","33"
"","","","前年比","75","78","104.44","88","76"
"","","資生堂EIS　MQ","当日","6,119","1,428","23.34","2","2"
"","","","累計","276,465","63,800","23.08","108","56"
"","","","前年","221,882","48,761","21.98","70","50"
"","","","前年比","125","131","105.01","154","112"
"","","資生堂バラ園　PFA","当日","0","0","0","0","0"
"","","","累計","36,922","6,660","18.04","27","22"
"","","","前年","15,961","2,908","18.22","13","11"
"","","","前年比","231","229","99.00","208","200"
"","","資生堂フィ　アデノゲ","当日","0","0","0","0","0"
"","","","累計","42,510","7,860","18.49","20","15"
"","","","前年","33,245","6,905","20.77","17","16"
"","","","前年比","128","114","89.02","118","94"
"2022/06/25","マプレ","","当日","0","0","0","0","0"
"","","","累計","28,017","-1,853","-6.61","7","5"
"","","","前年","0","0","0","0","0"
"","","","前年比","0","0","0","0","0"
"","","資生堂化粧品","当日","0","0","0","0","0"
"","","","累計","40,051","2,656","6.63","29","21"
"","","","前年","49,035","4,993","10.18","28","24"
"","","","前年比","82","53","65.13","104","88"
"","","資生堂BQ","当日","0","0","0","0","0"
"","","","累計","1,286,502","433,990","33.73","264","93"
"","","","前年","1,482,904","451,010","30.41","300","97"
"","","","前年比","87","96","110.92","88","96"
"","","資生堂CBP","当日","0","0","0","0","0"
"","","","累計","948,080","312,343","32.94","81","38"
"","","","前年","1,033,492","319,493","30.91","87","32"
"","","","前年比","92","98","106.57","93","119"
"","","ﾌｨﾃｨｯﾄｱﾃﾞﾉｹﾞﾝ","当日","4,493","371","8.26","5","3"
"","","","累計","171,060","13,774","8.05","119","70"
"","","","前年","93,952","8,154","8.68","80","56"
"","","","前年比","182","169","92.78","149","125"
"","","資DPEMNAQRKI","当日","0","0","0","0","0"
"","","","累計","199,108","59,377","29.82","65","25"
"","","","前年","268,881","76,874","28.59","76","35"
"","","","前年比","74","77","104.31","86","71"
"","","資生堂EIS　MQ","当日","3,909","779","19.93","2","2"
"","","","累計","280,374","64,579","23.03","110","58"
"","","","前年","224,412","49,451","22.04","71","51"
"","","","前年比","125","131","104.53","155","114"
"","","資生堂バラ園　PFA","当日","0","0","0","0","0"
"","","","累計","36,922","6,660","18.04","27","22"
"","","","前年","18,271","3,570","19.54","16","13"
"","","","前年比","202","187","92.32","169","169"
"","","資生堂フィ　アデノゲ","当日","0","0","0","0","0"
"","","","累計","42,510","7,860","18.49","20","15"
"","","","前年","37,293","7,649","20.51","19","18"
"","","","前年比","114","103","90.15","105","83"
"2022/06/26","マプレ","","当日","0","0","0","0","0"
"","","","累計","28,017","-1,853","-6.61","7","5"
"","","","前年","0","0","0","0","0"
"","","","前年比","0","0","0","0","0"
"","","資生堂化粧品","当日","3,300","750","22.73","1","1"
"","","","累計","43,351","3,406","7.86","30","22"
"","","","前年","49,035","4,993","10.18","28","24"
"","","","前年比","88","68","77.16","107","92"
"","","資生堂BQ","当日","3,399","507","14.92","2","3"
"","","","累計","1,289,901","434,497","33.68","266","96"
"","","","前年","1,482,904","451,010","30.41","300","97"
"","","","前年比","87","96","110.75","89","99"
"","","資生堂CBP","当日","0","0","0","0","0"
"","","","累計","948,080","312,343","32.94","81","38"
"","","","前年","1,045,692","323,024","30.89","88","33"
"","","","前年比","91","97","106.65","92","115"
"","","ﾌｨﾃｨｯﾄｱﾃﾞﾉｹﾞﾝ","当日","9,249","1,766","19.09","6","3"
"","","","累計","180,309","15,540","8.62","125","73"
"","","","前年","96,790","8,582","8.87","84","60"
"","","","前年比","186","181","97.20","149","122"
"","","資DPEMNAQRKI","当日","0","0","0","0","0"
"","","","累計","199,108","59,377","29.82","65","25"
"","","","前年","268,881","76,874","28.59","76","35"
"","","","前年比","74","77","104.31","86","71"
"","","資生堂EIS　MQ","当日","1,100","300","27.27","1","1"
"","","","累計","281,474","64,879","23.05","111","59"
"","","","前年","225,732","49,531","21.94","72","52"
"","","","前年比","125","131","105.05","154","113"
"","","資生堂バラ園　PFA","当日","990","288","29.09","1","1"
"","","","累計","37,912","6,948","18.33","28","23"
"","","","前年","18,271","3,570","19.54","16","13"
"","","","前年比","207","195","93.79","175","177"
"","","資生堂フィ　アデノゲ","当日","8,250","700","8.48","1","1"
"","","","累計","50,760","8,560","16.86","21","16"
"","","","前年","37,293","7,649","20.51","19","18"
"","","","前年比","136","112","82.22","111","89"
"2022/06/27","マプレ","","当日","1,760","960","54.55","1","1"
"","","","累計","29,777","-893","-3.00","8","6"
"","","","前年","0","0","0","0","0"
"","","","前年比","0","0","0","0","0"
"","","資生堂化粧品","当日","1,760","200","11.36","1","1"
"","","","累計","45,111","3,606","7.99","31","23"
"","","","前年","49,035","4,993","10.18","28","24"
"","","","前年比","92","72","78.50","111","96"
"","","資生堂BQ","当日","26,550","8,074","30.41","9","4"
"","","","累計","1,316,451","442,571","33.62","275","100"
"","","","前年","1,486,754","452,305","30.42","301","98"
"","","","前年比","89","98","110.51","91","102"
"","","資生堂CBP","当日","11,102","3,478","31.33","1","1"
"","","","累計","959,182","315,821","32.93","82","39"
"","","","前年","1,045,692","323,024","30.89","88","33"
"","","","前年比","92","98","106.59","93","118"
"","","ﾌｨﾃｨｯﾄｱﾃﾞﾉｹﾞﾝ","当日","5,878","468","7.96","6","3"
"","","","累計","186,187","16,008","8.60","131","76"
"","","","前年","99,254","8,700","8.77","86","62"
"","","","前年比","188","184","98.09","152","123"
"","","資DPEMNAQRKI","当日","0","0","0","0","0"
"","","","累計","199,108","59,377","29.82","65","25"
"","","","前年","268,881","76,874","28.59","76","35"
"","","","前年比","74","77","104.31","86","71"
"","","資生堂EIS　MQ","当日","2,860","780","27.27","1","1"
"","","","累計","284,334","65,659","23.09","112","60"
"","","","前年","232,002","51,241","22.09","74","54"
"","","","前年比","123","128","104.55","151","111"
"","","資生堂バラ園　PFA","当日","1,980","150","7.58","1","1"
"","","","累計","39,892","7,098","17.79","29","24"
"","","","前年","19,261","3,858","20.03","17","14"
"","","","前年比","207","184","88.83","171","171"
"","","資生堂フィ　アデノゲ","当日","660","192","29.09","1","1"
"","","","累計","51,420","8,752","17.02","22","17"
"","","","前年","37,293","7,649","20.51","19","18"
"","","","前年比","138","114","82.98","116","94"